Szállító,1. név,Helység,Anyag,Anyag rövid szövege,Sarzs,Értékelés fajtája,Szabadon használható
AHA7700524,Minősített rendszerek,VESZPRÉM,19003317,Hosszabbító 230V 3M/6 kapcs.,HA,HA,2
AHA7700524,Minősített rendszerek,VESZPRÉM,31000051,16GB-os USB Pendrive,HA,HA,1
AHA7700524,Minősített rendszerek,VESZPRÉM,31000193,Angol billentyűzet PS2 port,HA,HA,1
AHA7700524,Minősített rendszerek,VESZPRÉM,31000251,DVD ÍRÓ SLIM KÜLSŐ USB,HA,HA,4
AHA7700524,Minősített rendszerek,VESZPRÉM,31000383,Videokártya PCI-E 256MB,HA,HA,1
AHA7700524,Minősített rendszerek,VESZPRÉM,31000575,"HDD 1TB 7,2k SATAIII 3,5""",HA,HA,13
AHA7700524,Minősített rendszerek,VESZPRÉM,31000596,"K-HDD 1TB 5,4K USB 3.0 2,5""",HA,HA,2
AHA7700524,Minősített rendszerek,VESZPRÉM,31003507,"HDD 120GB 5K4 IDE 2,5""",HA,HA,2
AHA7700524,Minősített rendszerek,VESZPRÉM,31003513,Notebook táska,HA,HA,1
AHA7700524,Minősített rendszerek,VESZPRÉM,31003571,DMC-300SC MÉDIA KONVERTER,HA,HA,1
AHA7700524,Minősített rendszerek,VESZPRÉM,31003572,DMC-700SC Média konv. modul,HA,HA,23
AHA7700524,Minősített rendszerek,VESZPRÉM,31003585,"HDD 1TB 7,2k SATAIII 3,5""",HA,HA,1
AHA7700524,Minősített rendszerek,VESZPRÉM,31003726,"BEÉPÍTŐ KERET 2,5""",HA,HA,3
AHA7700524,Minősített rendszerek,VESZPRÉM,31003880,GIGABITES (REZES) MODUL,HA,HA,1
AHA7700524,Minősített rendszerek,VESZPRÉM,31003894,KÉZI ÁTKAPCSOLÓ USB 4/1,HA,HA,2
AHA7700524,Minősített rendszerek,VESZPRÉM,31007404,Aktív hangfalpár 2.0,HA,HA,1
AHA7700524,Minősített rendszerek,VESZPRÉM,31007405,Optikai egér USB port,HA,HA,2
AHA7700524,Minősített rendszerek,VESZPRÉM,31007484,HDMI kábel 20m,HA,HA,2
AHA7700524,Minősített rendszerek,VESZPRÉM,31007510,HDMI kábel 2m,HA,HA,2
AHA7700524,Minősített rendszerek,VESZPRÉM,31007551,Xiaomi Imilab W88S Full HD webkamera,HA,HA,2
AHA7700524,Minősített rendszerek,VESZPRÉM,31008034,Logitec G332 Fejhallgató+mikrofon,HA,HA,1
AHA7700524,Minősített rendszerek,VESZPRÉM,31008107,"HDD 2TB 5,4K SATA 3,5""",HA,HA,1
